game_id,game_date,game_date_time,home_team,away_team,home_team_id,away_team_id,home_score,away_score,state,venue,game_type
634565,2021-04-08,2021-04-08T20:10:00Z,Chicago White Sox,Kansas City Royals,145,118,6,0,Final,Guaranteed Rate Field,R
634568,2021-04-08,2021-04-08T20:15:00Z,St. Louis Cardinals,Milwaukee Brewers,138,158,3,1,Final,Busch Stadium,R
634545,2021-04-08,2021-04-08T23:07:00Z,Toronto Blue Jays,Los Angeles Angels,141,108,5,7,Final,TD Ballpark,R
634546,2021-04-08,2021-04-09T00:10:00Z,Houston Astros,Oakland Athletics,117,133,6,2,Final,Minute Maid Park,R
634499,2021-04-09,2021-04-09T19:10:00Z,Tampa Bay Rays,New York Yankees,139,147,10,5,Final,Tropicana Field,R
634533,2021-04-09,2021-04-09T20:10:00Z,Los Angeles Dodgers,Washington Nationals,119,120,1,0,Final,Dodger Stadium,R
634494,2021-04-09,2021-04-09T20:35:00Z,San Francisco Giants,Colorado Rockies,137,115,3,1,Final,Oracle Park,R
634512,2021-04-09,2021-04-09T23:07:00Z,Toronto Blue Jays,Los Angeles Angels,141,108,1,7,Final,TD Ballpark,R
634505,2021-04-09,2021-04-09T23:10:00Z,Cleveland Indians,Detroit Tigers,114,116,4,1,Final,Progressive Field,R
634534,2021-04-09,2021-04-09T23:20:00Z,Atlanta Braves,Philadelphia Phillies,144,143,8,1,Final,Truist Park,R
634478,2021-04-09,2021-04-10T00:05:00Z,Texas Rangers,San Diego Padres,140,135,0,3,Final,Globe Life Field,R
634537,2021-04-09,2021-04-10T00:10:00Z,Houston Astros,Oakland Athletics,117,133,2,6,Final,Minute Maid Park,R
634540,2021-04-09,2021-04-10T01:40:00Z,Arizona Diamondbacks,Cincinnati Reds,109,113,5,6,Final,Chase Field,R
632201,2021-04-10,2021-04-10T17:10:00Z,New York Mets,Miami Marlins,121,146,0,3,Final,Citi Field,R
632217,2021-04-10,2021-04-10T17:10:00Z,Tampa Bay Rays,New York Yankees,139,147,4,0,Final,Tropicana Field,R
632205,2021-04-10,2021-04-10T18:10:00Z,Minnesota Twins,Seattle Mariners,142,136,3,4,Final,Target Field,R
632222,2021-04-10,2021-04-10T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,138,158,5,9,Final,Busch Stadium,R
632202,2021-04-10,2021-04-10T20:05:00Z,Houston Astros,Oakland Athletics,117,133,3,7,Final,Minute Maid Park,R
632169,2021-04-10,2021-04-10T20:05:00Z,San Francisco Giants,Colorado Rockies,137,115,4,3,Final,Oracle Park,R
632218,2021-04-10,2021-04-10T22:10:00Z,Cleveland Indians,Detroit Tigers,114,116,11,3,Final,Progressive Field,R
632195,2021-04-10,2021-04-10T22:35:00Z,Pittsburgh Pirates,Chicago Cubs,134,112,8,2,Final,PNC Park,R
634491,2021-04-10,2021-04-10T23:05:00Z,Baltimore Orioles,Boston Red Sox,110,111,4,6,Final,Oriole Park at Camden Yards,R
632193,2021-04-10,2021-04-10T23:05:00Z,Texas Rangers,San Diego Padres,140,135,4,7,Final,Globe Life Field,R
632227,2021-04-10,2021-04-10T23:07:00Z,Toronto Blue Jays,Los Angeles Angels,141,108,15,1,Final,TD Ballpark,R
634524,2021-04-10,2021-04-10T23:20:00Z,Atlanta Braves,Philadelphia Phillies,144,143,5,4,Final,Truist Park,R
634484,2021-04-10,2021-04-11T00:10:00Z,Arizona Diamondbacks,Cincinnati Reds,109,113,8,3,Final,Chase Field,R
632191,2021-04-10,2021-04-11T01:10:00Z,Los Angeles Dodgers,Washington Nationals,119,120,9,5,Final,Dodger Stadium,R
634656,2021-04-10,2021-04-10T18:10:00Z,Chicago White Sox,Kansas City Royals,145,118,,,Postponed,Guaranteed Rate Field,R
632200,2021-04-11,2021-04-11T17:05:00Z,Baltimore Orioles,Boston Red Sox,110,111,9,14,Final,Oriole Park at Camden Yards,R
632225,2021-04-11,2021-04-11T17:05:00Z,Pittsburgh Pirates,Chicago Cubs,134,112,7,1,Final,PNC Park,R
632228,2021-04-11,2021-04-11T17:10:00Z,Cleveland Indians,Detroit Tigers,114,116,5,2,Final,Progressive Field,R
632192,2021-04-11,2021-04-11T17:10:00Z,New York Mets,Miami Marlins,121,146,6,5,Final,Citi Field,R
632232,2021-04-11,2021-04-11T17:10:00Z,Tampa Bay Rays,New York Yankees,139,147,4,8,Final,Tropicana Field,R
632215,2021-04-11,2021-04-11T18:10:00Z,Minnesota Twins,Seattle Mariners,142,136,6,8,Final,Target Field,R
632170,2021-04-11,2021-04-11T18:10:00Z,Chicago White Sox,Kansas City Royals,145,118,3,4,Final,Guaranteed Rate Field,R
632196,2021-04-11,2021-04-11T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,138,158,3,9,Final,Busch Stadium,R
632233,2021-04-11,2021-04-11T18:35:00Z,Texas Rangers,San Diego Padres,140,135,0,2,Final,Globe Life Field,R
632188,2021-04-11,2021-04-11T20:05:00Z,San Francisco Giants,Colorado Rockies,137,115,4,0,Final,Oracle Park,R
632209,2021-04-11,2021-04-11T20:10:00Z,Arizona Diamondbacks,Cincinnati Reds,109,113,7,0,Final,Chase Field,R
632214,2021-04-11,2021-04-11T20:10:00Z,Los Angeles Dodgers,Washington Nationals,119,120,3,0,Final,Dodger Stadium,R
632207,2021-04-11,2021-04-11T23:08:00Z,Atlanta Braves,Philadelphia Phillies,144,143,6,7,Final,Truist Park,R
632208,2021-04-11,2021-04-11T17:07:00Z,Toronto Blue Jays,Los Angeles Angels,141,108,,,Postponed,TD Ballpark,R
632198,2021-04-12,2021-04-12T22:35:00Z,Pittsburgh Pirates,San Diego Padres,134,135,2,6,Final,PNC Park,R
632203,2021-04-12,2021-04-12T23:07:00Z,Toronto Blue Jays,New York Yankees,141,147,1,3,Final,TD Ballpark,R
632204,2021-04-12,2021-04-12T23:10:00Z,Tampa Bay Rays,Texas Rangers,139,140,1,0,Final,Tropicana Field,R
